Title,Title_URL,Image,Info,badgetext,ratingdate,partial_entry,View,Number,note,viamobile,talnk
Delicious meals and outstanding service!,https://www.tripadvisor.com.au/ShowUserReviews-g261664-d19249494-r741287516-Joop_Joop-Prahran_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/b5/c8/86/missnita82.jpg,MissNita82,1 review,Reviewed 26 January 2020 ,"Had an amazing dinner at Joop Joop last Sunday night. Hubby and I throughly enjoyed every single dish we had that evening and we can’t wait to visit again. The crispy pork belly main was one of the best pork belly dishes I’ve ever had,...and I’ve had quite a few! The pandan and green tea bavarois for dessert was amazing!! The service was fantastic too of course! Highly recommended!More",Date of visit: January 2020,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
GETTING THERE,https://www.tripadvisor.com.au/ShowUserReviews-g261664-d19249494-r733092308-Joop_Joop-Prahran_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/16/66/89/16/caption.jpg,Chickerdees,280 reviews,Reviewed 17 December 2019 ,The crew here are excellent and the lunch menu offers something for everyone. And the food we chose was well prepared and tasted excellent. The atmosphere is a letdown with a very obvious fridge almost in the dining area and an urn for instant coffee.More,Date of visit: December 2019,2  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Amazing food and Outstanding service,https://www.tripadvisor.com.au/ShowUserReviews-g261664-d19249494-r725522597-Joop_Joop-Prahran_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",luper12322,1 review,Reviewed 11 November 2019 ,My partner and I had a wonderful experience. The staff were amazing friendly and attentive and the food was so tasty. We will be returning for sure.,Date of visit: November 2019,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
One of the best restaurants in the area,https://www.tripadvisor.com.au/ShowUserReviews-g261664-d19249494-r722431661-Joop_Joop-Prahran_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Mario M,3 reviews,Reviewed 30 October 2019 ,"My gf and I loved it. Beautiful presented home-made asian food but the best without any doubt was the dessert. Matcha mousse with sego, raspberries and a thousand things more i wouldnt be able to pronounce. Will repeat everytime im in Prahran!",Date of visit: October 2019,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Serendipity,https://www.tripadvisor.com.au/ShowUserReviews-g261664-d19249494-r722416861-Joop_Joop-Prahran_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nuriagb25,11 reviews,Reviewed 30 October 2019 ,"My boyfriend and I were walking down the street and saw the sign so we decided to give it a try, best decision in a long time. They have recently opened so only half of the restaurant was full and we could easily find a...place to sit. Decoration is quite cute and the staff more than charming!
Prices were a little high for an asian restaurant (19$ per dish) but after seeing that the freshness of the products we could understand. My boyfriend had the snapper and I had the pork belly and everything was delicious. would certainly recommend it, 9/10.More",Date of visit: October 2019,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Crispy Pork Belly MUST Try!,https://www.tripadvisor.com.au/ShowUserReviews-g261664-d19249494-r721195864-Joop_Joop-Prahran_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",richard9412,3 reviews,Reviewed 25 October 2019 ,"I went to the area and saw this new restaurant and decided to give it a try, I was greeted well by the waitress and I ordered Pork belly with five spices for my main and had the mango Sorbet with brownies for dessert.

The...Pork Belly was well seasoned and crispy and the Mango Sorbet was fresh and delicious with their homemade brownies.

The Service was Attentive as well!

will definitely come back. 8/10More",Date of visit: October 2019,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Tasty food,https://www.tripadvisor.com.au/ShowUserReviews-g261664-d19249494-r720939229-Joop_Joop-Prahran_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",LuciaYS,1 review,Reviewed 24 October 2019 ,"Found this little gem while strolling around Prahran. The ambiance of this newly opened restaurant is very welcoming with cute pictures hanging on the walls. We’re greeted by a friendly staff named Matthew and sat in the nice table in the middle of the room....We had the smoked eel and betel leaf for entree and this thing is divine! Would eat like 5 of it 😋 and for the mains we decided to have the pork belly with caramelized jackfruit sauce and OMG can’t get enough, you really can taste the jackfruit on the sauce! Combined with juicy pork belly and the sauce and white rice 🤤 We also have the buckwheat and potato dumpling with enoki mushroom, this dish might look simple but it’s so flavorful. And for the dessert we decided to have the pandan and green tea bavarois with sago, also the mangelico brownies, and what a beautiful closing for a beautiful dinner. Will definitely come back to try the menu 👍🏻More",Date of visit: October 2019,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Beautiful,https://www.tripadvisor.com.au/ShowUserReviews-g261664-d19249494-r720935952-Joop_Joop-Prahran_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",boho92,3 reviews,Reviewed 24 October 2019 ,"Had the pork belly, snapper, and chicken salad sharing with my friends. Very tasty and perfectly cooked. Service was excellent, waiters were very attentive. Will definitely come back again.",Date of visit: October 2019,2  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Best Thai in Melbourne!,https://www.tripadvisor.com.au/ShowUserReviews-g4379576-d7347180-r551908878-Tong_Thai-Bulleen_Manningham_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/15/fb/3d/de/caption.jpg,Anisinn,73 reviews,Reviewed 6 January 2018 ,"We happened upon this quaint Thai restaurant about a year ago & have been regulars since then. 
Reservations are recommended as it is a small restaurant although they do offer a  take away service.
This establishment is run by a family & their friendliness &...passion for great service makes it feel like you are being served  as a guest in their home.
Food is absolutely delicious & tastes so fresh ! You really can’t go wrong with anything on the menu. 
Must try!More",Date of visit: November 2017,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
Yummy,https://www.tripadvisor.com.au/ShowUserReviews-g4379576-d7347180-r539953327-Tong_Thai-Bulleen_Manningham_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f1/42/default-avatar-2020-20.jpg,941alil,22 reviews,Reviewed 10 November 2017 ,What a gem of a place. Thoroughly enjoyed our meal - terrific curries and rices. The prawn salad was magnificent.,Date of visit: November 2017,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Fantastic ,https://www.tripadvisor.com.au/ShowUserReviews-g4379576-d7347180-r460597498-Tong_Thai-Bulleen_Manningham_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ef/73/default-avatar-2020-13.jpg,amt48,37 reviews,Reviewed 17 February 2017 ,"My Mum & I found this place by chance & what a find!  The service was impeccable, the food devine - one of the best red curries I've ever had & that includes the ones in Thailand! Highly recommend it.",Date of visit: February 2017,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Top notch Thai,https://www.tripadvisor.com.au/ShowUserReviews-g4379576-d7347180-r440482987-Tong_Thai-Bulleen_Manningham_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Dennis M,794 reviews,Reviewed 28 November 2016 ,"Located on a strip of shops, you wouldn't really think to stop and eat here but trust me, do it. Food is fantastic (i've been a few times). It's family run and the service is great. The decor isn't much but the food is sensational....Some of the best Thai i've had. It's well priced , not budget but not breaking the bank. 
I really haven't been able to fault the food and service for all of the times i've beenMore",Date of visit: November 2016,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Great food and service,https://www.tripadvisor.com.au/ShowUserReviews-g4379576-d7347180-r397743344-Tong_Thai-Bulleen_Manningham_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",needassistance75,1 review,Reviewed 27 July 2016 ,"The meals are great, I have eaten at a few Thai places before and this is one of the freshest and tastiest. They take care of you service is great and so is the pricing. You wouldn't expect so much from such a little place.....Maybe make a booking before dropping by. I will go back.. Have done twice in 3 months and i am not a localMore",Date of visit: July 2016,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Excellent,https://www.tripadvisor.com.au/ShowUserReviews-g4379576-d7347180-r382359081-Tong_Thai-Bulleen_Manningham_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",SqueakingDuck,87 reviews,Reviewed 14 June 2016 ,"We are regular diners at Tong Thai.  The family running the restaurant are delightful & the food is sublime. Everything is excellent, but their Chicken Larb Salad (extra hot - this is my benchmark item in Thai restaurants) is exceptional.  The massaman Beef Curry is...also well worth a mention - succulent pieces of beef & potato in creamy massaman sauce.  There is a bottle shop next door, which is handy as they are BYO wine.More",Date of visit: May 2016,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Don't be fooled by the ordinary suburban exterior!!,https://www.tripadvisor.com.au/ShowUserReviews-g4379576-d7347180-r361459566-Tong_Thai-Bulleen_Manningham_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Gary R,16 reviews,Reviewed 4 April 2016 ,"Every dish tried was excellent, with very good service. This is a family run business with two sisters who are very well trained chefs. I would be hard pressed to find a better Thai restaurant in Melbourne. Staff are very friendly and treat you like...a friend, supervised by the third sister who runs front of shop. Reasonably priced also.More",Date of visit: March 2016,2  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Great authentic Thai cuisine. Highly recommended !!!,https://www.tripadvisor.com.au/ShowUserReviews-g4379576-d7347180-r361352864-Tong_Thai-Bulleen_Manningham_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",ripplepower,1 review,Reviewed 4 April 2016 ,"Tong Thai has some of the best Thai food Melbourne has to offer. 
We just can't get enough of the foods here. Foods are so delicious and fresh that we can go many times a week. Yes, it's our favorite Thai restaurant in Melbourne. 

Apart...from the fantastic foods, they provide an amazing service, the staffs and the owner are very friendly and forthcoming with recommendations if you're a little unsure of something on the menu. We have recomended Thai Tong to our friends and they all love it. It's great value for money and great quality Thai foods.More",Date of visit: March 2016,4  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Deliciously Amazing Authentic Thai Cuisine,https://www.tripadvisor.com.au/ShowUserReviews-g4379576-d7347180-r354019522-Tong_Thai-Bulleen_Manningham_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",MichelleD1966,5 reviews,Reviewed 9 March 2016 ,"We have been regular diners at Tong Thai for over a year now.  The restaurant is run by the most beautiful Thai family who welcome every guest as if they were a dear friend or neighbour.  The food is the best Thai Food I have...ever had in Melbourne and the fact that it's a five minute walk from my home makes me feel I've won the ""Food Lottery"".  The dishes are always fresh and beautifully presented and the menu aims to please even the most fussy eater.  Thank you Tong Thai for chosing Bulleen!!!More",Date of visit: March 2016,2  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
"Thank you long time, Tong Thai!",https://www.tripadvisor.com.au/ShowUserReviews-g4379576-d7347180-r353225170-Tong_Thai-Bulleen_Manningham_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Tooraktim,52 reviews,Reviewed 6 March 2016 ,"Excellent food with really fresh quality ingredients. Very tasty and diverse flavours with each dish. Friendly staff, meeting Nuch and her delightful family providing quick service. Very clean restaurant also offering home delivery. Great restaurant to have in our neighbourhood and we'll definitely be visiting...again.More",Date of visit: March 2016,2  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
Tongue Tied at Tong Thai,https://www.tripadvisor.com.au/ShowUserReviews-g4379576-d7347180-r349807466-Tong_Thai-Bulleen_Manningham_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",858LisaR858,16 reviews,Reviewed 22 February 2016 ,"What a delight this Bulleen gem is.  I have been here several times now and have never had a bad meal either eating in or takeaway.   Staff are extremely helpful and the chef is friendly and comes out to greet you personally to make sure...you are enjoying your meal.  I can highly recommend all the curries, i.e. red, green and massaman.  You can't get much better and especially in the suburbs.  Don’t drive past without giving it a try, you won’t be disappointed.More",Date of visit: February 2016,2  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Best Vietnamese in Preston.,https://www.tripadvisor.com.au/ShowUserReviews-g850584-d3442473-r796569165-Basil_House-Preston_Darebin_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/01/ab/e3/75/jonmegs.jpg,jonmegs,170 reviews,Reviewed 11 July 2021 ,"Dropped in for a Sunday lunch. Greeted by owner who is friendly and only too happy to please.  Family run business.  Restaurant is clean, bright and inviting.  Ordered and entrees delivered quickly, steaming hot and fresh. Mains which ate ridiculously generous for what you fork...out, were delicious. Fresh ingredients, tasty and very filling. We ordered, squid, a chicken dish and tofu- all amazing.  Ordered some extra tofu to take home with rice - 4 of us ate, drank for under $80.  Great value for money and the best hosts. Chef also greeted us as we left. She is an awesome cook. If you want great good at a great price - eat here!More",Date of visit: June 2021,2  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
Tasteless food,https://www.tripadvisor.com.au/ShowUserReviews-g850584-d3442473-r782181467-Basil_House-Preston_Darebin_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/df/99/default-avatar-2020-40.jpg,ausmummy,7 reviews,Reviewed 2 February 2021 ,"Tasteless bland food. Spring Rolls, fried rice, sweet and sour, curry. Very unimpressed. Voiced our disappointment to the older gentleman when asked how the meal was when paying, buy he really couldn't care less. Go elsewhere for a good dinner.",Date of visit: February 2021,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Beyond disappointed,https://www.tripadvisor.com.au/ShowUserReviews-g850584-d3442473-r741203079-Basil_House-Preston_Darebin_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e8/5b/default-avatar-2020-61.jpg,AshF1992,1 review,Reviewed 26 January 2020 ,"Was really looking forward to going to this place. Ordered, had great hospitality but then got back to the motel and all I can say was disappointment and beyond. Lemongrass beef had maybe 10 fatty bits of meat with about 750mls of what I can...describe as a gravy like sauce with absolutely no hint oemon grass. The Roti bread was chewy and almost inedible and the peanut sauce that went with it was absolutely salty and inedible. Contacted the owner, the bread is an in house recipe and absolutely no apology for that and the peanut sauce. He blamed his new chef and offered a refund only on the lemon grass beef. Would not order takeaway ever again from here. Do not waste your time.More",Date of visit: January 2020,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Economically Satisfying,https://www.tripadvisor.com.au/ShowUserReviews-g850584-d3442473-r723355853-Basil_House-Preston_Darebin_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Adam B,21 reviews,Reviewed 3 November 2019 ,"Basil House offers a range of Thai and Vietnamese cuisine at affordable prices. Servings are plentiful and you do not leave hungry. Their smoothies are refreshing (we had the mango), and their Tom Yum and Tom Kha soups were tasty, as was the noodle dish...we tried. Good service and friendly staff too. Each table is also provided with free tea, which is a bonus!More",Date of visit: November 2019,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
#7 the legendary experience ,https://www.tripadvisor.com.au/ShowUserReviews-g850584-d3442473-r694775080-Basil_House-Preston_Darebin_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",_max_m_villa_,17 reviews,Reviewed 2 August 2019 ,This place has been a long time favourite of mine and it needs the credit it deserves. The fantastic flavours and amazing perfect portions for everyone makes it a great place. Curry puffs go off 🎉. 10/10 must have🍛,Date of visit: August 2019,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Delicious take away.,https://www.tripadvisor.com.au/ShowUserReviews-g850584-d3442473-r673171458-Basil_House-Preston_Darebin_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Carmel W,3 reviews,Reviewed 11 May 2019 ,"Very, very tasty green curry chicken. Delicious, actually. Fast service and reasonably priced. So lucky to have wonderful and authentic Asian food close to home.",Date of visit: May 2019,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Dinner,https://www.tripadvisor.com.au/ShowUserReviews-g850584-d3442473-r656884318-Basil_House-Preston_Darebin_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",sfoley214,38 reviews,Reviewed 7 March 2019 ,"What an amazing cosy place in the heart of Preston! Food was full of flavour, staff were very friendly and happy. Service was quick, I highly recommend a visit here. We were staying at breakfree and wanted some Thai for dinner, with easy walking distance,...and Helen told us about this place. My husband and I were totally satisfied. We had green chicken curry and chilli chicken, it’s fully licensed, and has Chang beer or byo wine onlyMore",Date of visit: March 2019,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
Good food reasonable budget,https://www.tripadvisor.com.au/ShowUserReviews-g850584-d3442473-r654387440-Basil_House-Preston_Darebin_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",kamals711,17 reviews,Reviewed 24 February 2019 ,Been to this restaurant now called Basil Thai not Basil house ordered prawn dumpling soup which was great and I am not a soup person also the main was great price very reasonable a great place for a Viet - Thai meal.,Date of visit: February 2019,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
"Great flavour, great value",https://www.tripadvisor.com.au/ShowUserReviews-g850584-d3442473-r598708962-Basil_House-Preston_Darebin_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",simmo619,31 reviews,Reviewed 23 July 2018 ,"Basil house has become our go to for cheap eats out or take away
 Every dish we have tried had been bursting with flavour. There is a good vegetarian selection and the serves are just the right size.
The service is brilliant",Date of visit: June 2018,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
"Tasty, fast and great value",https://www.tripadvisor.com.au/ShowUserReviews-g850584-d3442473-r592275334-Basil_House-Preston_Darebin_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Doris N,13 reviews,Reviewed 2 July 2018 ,I love Thai food and travel to Thailand frequently. The food at basil Thai was fresh and very tasty. Lovely combination of flavour and spice. Shame we live in Brisbane.,Date of visit: June 2018,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Good solid place,https://www.tripadvisor.com.au/ShowUserReviews-g850584-d3442473-r582314704-Basil_House-Preston_Darebin_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",TwoSheds57,"1,727 reviews",Reviewed 24 May 2018 ,"It’s a solid 3.5.  This is a largish Vietnamese Thai restaurant on busy High St.  I was served quickly and the food also came out very rapidly.  I loved the prawn and beef rice paper rolls.  As good as I’ve has for a while and...with a nice little kick from the Vietnamese mint.  Good peanut sauce too.  The beef salad wasn’t as polished though.  The veggies were a bit roughly cut and it wasn’t quite as flavoursome as I’d been hoping.  And, the beef was a little chewy.  Although, I was starting to rethink the dish by the end as it grew on me throughout and I was left with lovely warm lips by the end.  I also loved the chopped nuts through it.  You couldn’t complain about the size of the serve though.  It was huge.  I quite liked the place though and would happily come here again.  It’s not Victoria St but also not Victoria St prices.  I reckon it was 20-30% cheaper here.  To repeat, I’d very happily come again.More",Date of visit: May 2018,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
Enjoyable Asian Delight,https://www.tripadvisor.com.au/ShowUserReviews-g850584-d3442473-r570605316-Basil_House-Preston_Darebin_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",3cbs5,240 reviews,Reviewed 3 April 2018 ,Really enjoyed the mix of Thai & Vietnamese food on offer. The staff are efficient and very business like but not overly friendly but this seems to be the norm in High st Preston. The meals were well presented and very tasty with a zing...of spice to further enhance the dishes. Not sure about a return visit as it was a good experience but not a great one.More,Date of visit: March 2018,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Bargain,https://www.tripadvisor.com.au/ShowUserReviews-g850584-d3442473-r568535263-Basil_House-Preston_Darebin_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Westley S,15 reviews,Reviewed 25 March 2018 ,"Three mains, one entree and one soup for only $45. All the food taste great. We had some Thai but mostly ate Vietnamese. Will definitely be back.",Date of visit: March 2018,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Good Food,https://www.tripadvisor.com.au/ShowUserReviews-g850584-d3442473-r502353145-Basil_House-Preston_Darebin_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Leonardonegro,96 reviews,Reviewed 16 July 2017 ,"Good food, clean restaurant and friendly staff. Restaurant was full of Vietnamese people, always a good sign. 
The salt and pepper are sensational, garlic and chive dumplings delicious. Noodle soups are good as well.
Good value for money!",Date of visit: July 2017,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Very dissapointing,https://www.tripadvisor.com.au/ShowUserReviews-g850584-d3442473-r476777599-Basil_House-Preston_Darebin_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Minttu69,150 reviews,Reviewed 18 April 2017 ,"Usually Thai restaurants are good choise, not this time. Only time we have been so dissapointed. There was hardly any meat on chicken curries and only thing to taste was chili. Would expect much more as we really know Thai food.
Do not recommend. Go...to Maharaja Indian restaurant on same street, fabulous!More",Date of visit: April 2017,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
Great food,https://www.tripadvisor.com.au/ShowUserReviews-g850584-d3442473-r475718503-Basil_House-Preston_Darebin_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ea/b2/default-avatar-2020-69.jpg,Eb010160,10 reviews,Reviewed 15 April 2017 ,I Went to Basil house with my family. I've been there several times now as I live in the area. The service is friendly and quick which suited our visit. Every time I've been there the food was great. The prices are great too! In...More,Date of visit: April 2017,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
Poor tasteless Thai food,https://www.tripadvisor.com.au/ShowUserReviews-g850584-d3442473-r468234200-Basil_House-Preston_Darebin_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f1/79/default-avatar-2020-21.jpg,Christine H,18 reviews,Reviewed 18 March 2017 ,"I had the green papaya salad with seafood. As very often in cheap or sort of cheap little places, you must understand seafood as one or two sliced deep frozen tasteless prawns,  a few calamari bits and also sort of processed fish cakes pieces. No...More",Date of visit: March 2017,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
